code,name
0100,東京法務局
0101,東京法務局八王子支局
0104,東京法務局港出張所
0105,東京法務局台東出張所
0106,東京法務局墨田出張所
0107,東京法務局品川出張所
0108,東京法務局城南出張所
0109,東京法務局世田谷出張所
0110,東京法務局渋谷出張所
0111,東京法務局新宿出張所
0112,東京法務局中野出張所
0113,東京法務局杉並出張所
0114,東京法務局板橋出張所
0115,東京法務局北出張所
0116,東京法務局練馬出張所
0117,東京法務局江戸川出張所
0118,東京法務局城北出張所
0123,東京法務局町田出張所
0124,東京法務局府中支局
0127,東京法務局田無出張所
0128,東京法務局立川出張所
0131,東京法務局西多摩支局
0132,東京法務局目黒出張所
0133,東京法務局豊島出張所
0134,東京法務局多摩出張所
0200,横浜地方法務局
0201,横浜地方法務局川崎支局
0202,横浜地方法務局横須賀支局
0203,横浜地方法務局小田原支局
0204,横浜地方法務局厚木支局
0205,横浜地方法務局神奈川出張所
0206,横浜地方法務局金沢出張所
0207,横浜地方法務局青葉出張所
0208,横浜地方法務局戸塚出張所
0210,横浜地方法務局湘南支局
0212,横浜地方法務局麻生出張所
0213,横浜地方法務局旭出張所
0217,横浜地方法務局平塚出張所
0218,横浜地方法務局大和出張所
0219,横浜地方法務局相模原支局
0224,横浜地方法務局港北出張所
0225,横浜地方法務局栄出張所
0300,さいたま地方法務局
0301,さいたま地方法務局越谷支局
0302,さいたま地方法務局川越支局
0303,さいたま地方法務局熊谷支局
0304,さいたま地方法務局東松山支局
0305,さいたま地方法務局秩父支局
0306,さいたま地方法務局川口出張所
0307,さいたま地方法務局大宮支局
0308,さいたま地方法務局志木出張所
0309,さいたま地方法務局鴻巣出張所
0310,さいたま地方法務局上尾出張所
0312,さいたま地方法務局久喜支局
0314,さいたま地方法務局岩槻出張所
0315,さいたま地方法務局春日部出張所
0316,さいたま地方法務局草加出張所
0318,さいたま地方法務局所沢支局
0320,さいたま地方法務局坂戸出張所
0322,さいたま地方法務局飯能出張所
0328,さいたま地方法務局本庄出張所
0334,さいたま地方法務局戸田出張所
0400,千葉地方法務局
0401,千葉地方法務局佐倉支局
0402,千葉地方法務局松戸支局
0403,千葉地方法務局木更津支局
0404,千葉地方法務局館山支局
0405,千葉地方法務局匝瑳支局
0406,千葉地方法務局香取支局
0407,千葉地方法務局船橋支局
0408,千葉地方法務局市原出張所
0410,千葉地方法務局東金出張所
0414,千葉地方法務局茂原支局
0416,千葉地方法務局いすみ出張所
0423,千葉地方法務局成田出張所
0424,千葉地方法務局柏支局
0426,千葉地方法務局野田出張所
0443,千葉地方法務局市川支局
0447,千葉地方法務局千葉東出張所
0500,水戸地方法務局
0501,水戸地方法務局日立支局
0502,水戸地方法務局常陸太田支局
0503,水戸地方法務局土浦支局
0504,水戸地方法務局龍ケ崎支局
0506,水戸地方法務局下妻支局
0524,水戸地方法務局つくば出張所
0527,水戸地方法務局取手出張所
0530,水戸地方法務局鹿嶋支局
0532,水戸地方法務局筑西出張所
0539,水戸地方法務局古河出張所
0600,宇都宮地方法務局
0601,宇都宮地方法務局真岡支局
0602,宇都宮地方法務局大田原支局
0603,宇都宮地方法務局烏山支局
0604,宇都宮地方法務局栃木支局
0605,宇都宮地方法務局足利支局
0608,宇都宮地方法務局日光支局
0624,宇都宮地方法務局小山出張所
0627,宇都宮地方法務局佐野出張所
0700,前橋地方法務局
0701,前橋地方法務局沼田支局
0702,前橋地方法務局太田支局
0703,前橋地方法務局桐生支局
0704,前橋地方法務局高崎支局
0705,前橋地方法務局中之条支局
0706,前橋地方法務局富岡支局
0707,前橋地方法務局渋川出張所
0708,前橋地方法務局伊勢崎支局
0800,静岡地方法務局
0801,静岡地方法務局沼津支局
0802,静岡地方法務局富士支局
0803,静岡地方法務局下田支局
0804,静岡地方法務局浜松支局
0805,静岡地方法務局掛川支局
0806,静岡地方法務局清水出張所
0808,静岡地方法務局藤枝出張所
0809,静岡地方法務局島田出張所
0810,静岡地方法務局焼津出張所
0816,静岡地方法務局熱海出張所
0820,静岡地方法務局富士宮出張所
0828,静岡地方法務局磐田出張所
0831,静岡地方法務局袋井支局
0900,甲府地方法務局
0901,甲府地方法務局鰍沢支局
0903,甲府地方法務局山梨出張所
0908,甲府地方法務局韮崎出張所
